"", "Provincia","Estadillo","Sp","RGR","B_IFN2","B_IFN3","BP","AB3_Mgha_perc","geometry1","geometry2"
"78","Almeria","0958","Quercus ilex",18.5536395027271,103.447906440323,126.924679948546,1.95639779235187,100,c(-2.75243105282088, 37.082183675954)
"79","Almeria","0965","Pinus sylvestris",81.2653854780155,17.8992209488138,47.9038802356116,2.50038827389982,100,c(-2.84246942982024, 37.0732420129293)
"80","Almeria","0966","Pinus sylvestris",30.6089932860855,86.6466895612323,125.015598827787,3.1974091055462,100,c(-2.81975585018844, 37.073371929761)
"81","Almeria","0967","Quercus ilex",25.631038060667,18.4001997435191,25.0077412835766,0.550628461671451,100,c(-2.8083705283311, 37.0735884541444)
"82","Almeria","0968","Pinus nigra",44.0213311951481,33.4663673690395,57.5753391990824,2.00908098583691,81.7031437773759,c(-2.79719937281839, 37.0736239659144)
"83","Almeria","0969","Pinus sylvestris",46.2211264182809,46.6605723291722,84.2132436616373,3.12938927770543,100,c(-2.7858039013204, 37.0734146345614)
"84","Almeria","0970","Pinus sylvestris",61.4863613077851,30.300958334377,64.5554467082135,2.85454069781971,100,c(-2.77472324921538, 37.0732859355097)
"85","Almeria","0971","Pinus nigra",18.1938684784654,86.1900535542757,106.847316485306,1.72143857758588,92.2317052209956,c(-2.76318221659655, 37.0728938684525)
"86","Almeria","0972","Quercus ilex",22.9713174901143,6.43452716750214,8.41179928288369,0.164772676281795,100,c(-2.70759637159422, 37.0731845209191)
"87","Almeria","0973","Quercus ilex",25.9268772902652,12.886459846576,17.8055686434681,0.409925733074344,100,c(-2.69534669701463, 37.0728652334561)
"88","Almeria","0976","Pinus sylvestris",60.6438174685381,13.6315967839024,28.579203102711,1.24563385990072,100,c(-2.84220618938608, 37.0645518629861)
"89","Almeria","0977","Pinus nigra",55.8372095144926,2.39211319696211,4.67497433220099,0.190238427936573,100,c(-2.83095794301373, 37.0644462239861)
"90","Almeria","0978","Pinus nigra",19.2723285581067,162.378702143404,209.639572167358,3.93840583532952,100,c(-2.81994616174242, 37.0642497343773)
"91","Almeria","0980","Quercus ilex",8.96007726051258,23.4929190587112,26.3474963119687,0.237881437771458,100,c(-2.78603204910746, 37.0642835527896)
"92","Almeria","0981","Pinus pinaster",59.8158826775357,34.7180922910395,72.0100502162862,3.10766316043723,100,c(-2.7747053143522, 37.0641363809801)
"93","Almeria","0982","Pinus pinaster",27.5278684179958,73.3915671612019,103.04817439399,2.47138393606571,100,c(-2.75167897907957, 37.0643969000992)
"94","Almeria","0984","Pinus nigra",80.0770481919573,12.0554365134757,31.9587938690474,1.65861311296431,100,c(-2.83064074809943, 37.0553322862746)
"95","Almeria","0985","Pinus nigra",45.7618223612392,6.95827551693912,12.119519180822,0.430103638656909,100,c(-2.79758568352424, 37.0552534496051)
"96","Almeria","0986","Quercus ilex",51.2407744585421,5.69674444824171,10.556701380809,0.404996411047279,100,c(-2.78692388786618, 37.0550905500302)
"97","Almeria","0987","Quercus ilex",6.85951994073735,52.2458886573974,56.5059274913331,0.355003236161308,100,c(-2.77482119668105, 37.0553746824404)
"98","Almeria","0990","Pinus sylvestris",69.1874290376023,10.4687842745007,24.0483519644914,1.13163064083256,51.9930172977975,c(-2.7858359150032, 37.0460201695984)
"99","Almeria","1025","Pinus halepensis",65.8775760662062,14.8682280713027,34.1890659230408,1.61006982097817,100,c(-2.92160727230691, 37.0008451734592)
"100","Granada","0973","Populus nigra",91.8843340560493,18.4263781590153,52.1800633206874,2.81280709680601,49.5145602596945,c(-3.25918309413853, 37.234831744268)
"101","Granada","0993","Pinus pinaster",65.9589444582861,6.9118016770248,14.5334803014229,0.635139885366506,78.0337717052535,c(-3.2031692265844, 37.1905466920744)
"102","Granada","0994","Pinus pinaster",32.6015120053818,41.9048820287364,62.9872750373515,1.75686608405126,100,c(-3.19168892820679, 37.190908359348)
"103","Granada","0997","Pinus sylvestris",65.3508485051891,27.4367333598326,59.8609370729584,2.70201697609382,100,c(-3.22564331570195, 37.1816811908389)
"104","Granada","0998","Quercus ilex",48.9433606650108,11.6652481468793,20.93888456515,0.772803034855894,52.1597365863891,c(-3.20356174494246, 37.1814687885621)
"105","Granada","1001","Pinus nigra",39.4630433659176,47.5415338465358,75.6046117361659,2.33858982413585,58.6113899487067,c(-3.21465549040949, 37.1724260532193)
"106","Granada","1061","Pinus halepensis",44.9564882788517,23.666687570157,40.1905763236003,1.37699072945361,100,c(-3.15801343057531, 37.2081569921511)
"107","Granada","1062","Pinus halepensis",48.5501297402596,26.2445719253189,48.4811178728738,1.85304549562957,100,c(-3.16899290586654, 37.1992719546564)
"108","Granada","1063","Pinus pinaster",51.6343673883962,6.05739689667324,11.1903487192672,0.427745985216162,100,c(-3.18082687925806, 37.1907090964572)
"109","Granada","1066","Quercus ilex",39.1058665107272,14.9878647517217,23.9004655036326,0.742716729325907,100,c(-3.18060211171728, 37.1814879802122)
"110","Granada","1071","Pinus halepensis",55.9418757195299,2.40196729051514,4.70013209948954,0.1915137340812,100,c(-3.04515920091377, 37.1723684853229)
"111","Granada","1177","Pinus halepensis",178.556590909766,11.6321386527991,40.0232148740342,4.05586803160502,100,c(-3.55135112774299, 37.116991815342)
"112","Granada","1180","Pinus halepensis",36.7837630374601,13.2557467258162,20.89770224597,0.636829626679482,100,c(-3.56268699507167, 37.1079965308235)
"113","Granada","1181","Pinus halepensis",58.1000478999148,21.0244539449373,43.4996134946,1.87292996247189,100,c(-3.5511508575482, 37.1079966309103)
"114","Granada","1182","Pinus halepensis",147.419987814271,9.97478526622109,29.0432507700226,2.72406650054307,100,c(-3.53997580704232, 37.1081291769609)
"115","Granada","1184","Pinus pinaster",28.8650911876764,50.5727041155094,70.5382757140148,1.66379763320879,95.3068155498019,c(-3.54012672437831, 37.0992675686113)
"116","Granada","1187","Pinus pinaster",29.7644702449859,63.8620007788903,78.7097971017002,2.12111376040141,100,c(-3.5291026470608, 37.0723738470851)
"117","Granada","1188","Pinus halepensis",80.7215590094439,15.8146630850162,41.5660405062939,2.14594811843982,75.0805408255556,c(-3.56297483053438, 37.0632307491512)
"118","Granada","1189","Pinus halepensis",32.1331977917637,10.0748262524598,14.9870295302195,0.409350273146637,100,c(-3.55180821213223, 37.0636167460958)
"119","Granada","1193","Pinus halepensis",30.1811577355399,56.2804036365196,82.2172665921212,2.16140524630013,100,c(-3.56209702932068, 37.0540223784926)
"120","Granada","1196","Pinus halepensis",53.85111371388,8.89742228274627,18.2680578308479,0.78088629567514,100,c(-3.61901965226397, 37.0446617049878)
"121","Granada","1197","Pinus halepensis",27.304211818262,4.43064244193813,6.42028019784234,0.165803146325351,72.7140822468641,c(-3.60750543244415, 37.0447933357609)
"122","Granada","1200","Pinus halepensis",39.3434359650642,27.6346207797843,43.4915090861317,1.32140735886228,94.5681797499565,c(-3.57307408135844, 37.0450728151283)
"123","Granada","1201","Pinus nigra",39.0838445043103,16.8698560773317,26.8483984504714,0.831545197761639,100,c(-3.55033873261354, 37.0454869386298)
"124","Granada","1204","Pinus halepensis",40.4685976925329,10.3907741516177,13.6001847590341,0.45848722963091,100,c(-3.60683813576411, 37.0358366078156)
"125","Granada","1206","Pinus halepensis",41.4406350771098,3.45472351455886,6.23118531026971,0.231371816309238,100,c(-3.58463571743, 37.0364438659756)
"126","Granada","1207","Pinus halepensis",24.366686671971,72.5199967341435,97.8671734770977,2.11226472857952,87.1729978803444,c(-3.57277238361814, 37.0363484847971)
